Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;401;2614;3015
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;289;1450;1739
Agustus;Surabaya Barat;Tandes;Puskesmas Balongsari;439;2572;3011
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;240;1912;2152
Agustus;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;612;4119;4731
Agustus;Surabaya Barat;Pakal;Puskesmas Benowo;538;4020;4558
Agustus;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;310;2318;2628
Agustus;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;523;2696;3219
Agustus;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;809;3819;4628
Agustus;Surabaya Utara;Krembangan;Puskesmas Dupak;367;3195;3562
Agustus;Surabaya Timur;Tambaksari;Puskesmas Gading;644;4671;5315
Agustus;Surabaya Selatan;Gayungan;Puskesmas Gayungan;652;3656;4308
Agustus;Surabaya Pusat;Bubutan;Puskesmas Gundih;132;3427;3559
Agustus;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;647;2675;3322
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1066;5276;6342
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;556;3706;4262
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;530;1948;2478
Agustus;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;396;2241;2637
Agustus;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;640;3897;4537
Agustus;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;744;4486;5230
Agustus;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;403;3653;4056
Agustus;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;663;4413;5076
Agustus;Surabaya Utara;Bulak;Puskesmas Kenjeran;308;2291;2599
Agustus;Surabaya Timur;Sukolilo;Puskesmas Keputih;547;1750;2297
Agustus;Surabaya Pusat;Genteng;Puskesmas Ketabang;391;2441;2832
Agustus;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;426;2860;3286
Agustus;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;419;3330;3749
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;531;2408;2939
Agustus;Surabaya Barat;Sambikerep;Puskesmas Lontar;569;2039;2608
Agustus;Surabaya Barat;Sambikerep;Puskesmas Made;337;2247;2584
Agustus;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;691;4840;5531
Agustus;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1025;3578;4603
Agustus;Surabaya Timur;Sukolilo;Puskesmas Menur;568;3356;3924
Agustus;Surabaya Timur;Gubeng;Puskesmas Mojo;639;3842;4481
Agustus;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;339;2932;3271
Agustus;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;717;3257;3974
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;600;3482;4082
Agustus;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;340;3446;3786
Agustus;Surabaya Selatan;Sawahan;Puskesmas Pakis;409;3591;4000
Agustus;Surabaya Utara;Semampir;Puskesmas Pegirian;310;3136;3446
Agustus;Surabaya Pusat;Genteng;Puskesmas Peneleh;407;2708;3115
Agustus;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;658;4433;5091
Agustus;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;426;4024;4450
Agustus;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;442;3337;3779
Agustus;Surabaya Timur;Tambaksari;Puskesmas Rangkah;625;3560;4185
Agustus;Surabaya Selatan;Sawahan;Puskesmas Sawahan;476;3454;3930
Agustus;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;304;2264;2568
Agustus;Surabaya Barat;Benowo;Puskesmas Sememi;615;4571;5186
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;362;2406;2768
Agustus;Surabaya Utara;Semampir;Puskesmas Sidotopo;446;2887;3333
Agustus;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;457;3631;4088
Agustus;Surabaya Pusat;Simokerto;Puskesmas Simolawang;280;3317;3597
Agustus;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;744;4942;5686
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;492;3184;3676
Agustus;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;267;2771;3038
Agustus;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;346;1795;2141
Agustus;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;693;4566;5259
Agustus;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;407;1643;2050
Agustus;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;576;3314;3890
Agustus;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;862;4116;4978
Agustus;Surabaya Selatan;Wiyung;Puskesmas Wiyung;668;3875;4543
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;362;2528;2890
Agustus;Surabaya Utara;Semampir;Puskesmas Wonokusumo;571;3665;4236
