Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;233;1925;2158
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;184;935;1119
April;Surabaya Barat;Tandes;Puskesmas Balongsari;352;1968;2320
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;128;1371;1499
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;489;2910;3399
April;Surabaya Barat;Pakal;Puskesmas Benowo;300;2853;3153
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;315;1630;1945
April;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;347;2059;2406
April;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;604;2340;2944
April;Surabaya Utara;Krembangan;Puskesmas Dupak;249;2137;2386
April;Surabaya Timur;Tambaksari;Puskesmas Gading;374;2775;3149
April;Surabaya Selatan;Gayungan;Puskesmas Gayungan;368;2555;2923
April;Surabaya Pusat;Bubutan;Puskesmas Gundih;94;2361;2455
April;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;322;1611;1933
April;Surabaya Selatan;Wonokromo;Puskesmas Jagir;645;3446;4091
April;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;234;1549;1783
April;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;228;1310;1538
April;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;261;1607;1868
April;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;340;2391;2731
April;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;460;2906;3366
April;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;362;2701;3063
April;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;546;3107;3653
April;Surabaya Utara;Bulak;Puskesmas Kenjeran;193;1543;1736
April;Surabaya Timur;Sukolilo;Puskesmas Keputih;259;1103;1362
April;Surabaya Pusat;Genteng;Puskesmas Ketabang;212;1591;1803
April;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;213;1705;1918
April;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;324;2330;2654
April;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;211;1594;1805
April;Surabaya Barat;Sambikerep;Puskesmas Lontar;401;1414;1815
April;Surabaya Barat;Sambikerep;Puskesmas Made;194;1333;1527
April;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;505;3604;4109
April;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;388;2111;2499
April;Surabaya Timur;Sukolilo;Puskesmas Menur;331;2061;2392
April;Surabaya Timur;Gubeng;Puskesmas Mojo;432;2550;2982
April;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;210;1589;1799
April;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;283;2186;2469
April;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;336;2650;2986
April;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;234;2441;2675
April;Surabaya Selatan;Sawahan;Puskesmas Pakis;167;1967;2134
April;Surabaya Utara;Semampir;Puskesmas Pegirian;186;2019;2205
April;Surabaya Pusat;Genteng;Puskesmas Peneleh;206;1728;1934
April;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;315;2990;3305
April;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;349;2511;2860
April;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;267;2151;2418
April;Surabaya Timur;Tambaksari;Puskesmas Rangkah;353;2212;2565
April;Surabaya Selatan;Sawahan;Puskesmas Sawahan;310;2282;2592
April;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;257;1606;1863
April;Surabaya Barat;Benowo;Puskesmas Sememi;379;2367;2746
April;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;275;1483;1758
April;Surabaya Utara;Semampir;Puskesmas Sidotopo;262;1879;2141
April;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;284;2510;2794
April;Surabaya Pusat;Simokerto;Puskesmas Simolawang;159;1991;2150
April;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;485;3333;3818
April;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;289;2077;2366
April;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;101;2004;2105
April;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;173;1112;1285
April;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;403;2343;2746
April;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;295;980;1275
April;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;392;2265;2657
April;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;458;4027;4485
April;Surabaya Selatan;Wiyung;Puskesmas Wiyung;425;2902;3327
April;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;228;1789;2017
April;Surabaya Utara;Semampir;Puskesmas Wonokusumo;385;2402;2787
