Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;276;1758;2034
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;205;1070;1275
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;318;1833;2151
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;163;1739;1902
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;531;2898;3429
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;425;2943;3368
Februari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;331;2605;2936
Februari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;369;1917;2286
Februari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;761;2746;3507
Februari;Surabaya Utara;Krembangan;Puskesmas Dupak;289;2044;2333
Februari;Surabaya Timur;Tambaksari;Puskesmas Gading;417;2863;3280
Februari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;479;2877;3356
Februari;Surabaya Pusat;Bubutan;Puskesmas Gundih;108;2610;2718
Februari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;387;1671;2058
Februari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;688;3499;4187
Februari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;303;1844;2147
Februari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;288;1458;1746
Februari;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;333;1532;1865
Februari;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;484;2418;2902
Februari;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;561;3184;3745
Februari;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;304;2317;2621
Februari;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;702;3346;4048
Februari;Surabaya Utara;Bulak;Puskesmas Kenjeran;282;1657;1939
Februari;Surabaya Timur;Sukolilo;Puskesmas Keputih;303;1064;1367
Februari;Surabaya Pusat;Genteng;Puskesmas Ketabang;327;1539;1866
Februari;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;267;1663;1930
Februari;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;365;2227;2592
Februari;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;390;1744;2134
Februari;Surabaya Barat;Sambikerep;Puskesmas Lontar;546;1428;1974
Februari;Surabaya Barat;Sambikerep;Puskesmas Made;281;1452;1733
Februari;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;576;3911;4487
Februari;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;565;2101;2666
Februari;Surabaya Timur;Sukolilo;Puskesmas Menur;402;2251;2653
Februari;Surabaya Timur;Gubeng;Puskesmas Mojo;554;2755;3309
Februari;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;259;1930;2189
Februari;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;379;2361;2740
Februari;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;367;2676;3043
Februari;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;239;2234;2473
Februari;Surabaya Selatan;Sawahan;Puskesmas Pakis;272;2197;2469
Februari;Surabaya Utara;Semampir;Puskesmas Pegirian;210;2077;2287
Februari;Surabaya Pusat;Genteng;Puskesmas Peneleh;202;1527;1729
Februari;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;395;3102;3497
Februari;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;435;2518;2953
Februari;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;267;1999;2266
Februari;Surabaya Timur;Tambaksari;Puskesmas Rangkah;365;1929;2294
Februari;Surabaya Selatan;Sawahan;Puskesmas Sawahan;491;2458;2949
Februari;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;255;1589;1844
Februari;Surabaya Barat;Benowo;Puskesmas Sememi;358;2229;2587
Februari;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;248;1511;1759
Februari;Surabaya Utara;Semampir;Puskesmas Sidotopo;381;1981;2362
Februari;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;369;2661;3030
Februari;Surabaya Pusat;Simokerto;Puskesmas Simolawang;126;1549;1675
Februari;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;632;3641;4273
Februari;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;386;2083;2469
Februari;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;99;2049;2148
Februari;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;145;935;1080
Februari;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;483;2671;3154
Februari;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;365;937;1302
Februari;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;345;2119;2464
Februari;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;601;4212;4813
Februari;Surabaya Selatan;Wiyung;Puskesmas Wiyung;375;2402;2777
Februari;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;228;1711;1939
Februari;Surabaya Utara;Semampir;Puskesmas Wonokusumo;426;2495;2921
