Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;392;2238;2630
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;184;1091;1275
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;369;2240;2609
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;193;1852;2045
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;552;3210;3762
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;411;3377;3788
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;420;2942;3362
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;427;1996;2423
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;755;2900;3655
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;336;2758;3094
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;446;3208;3654
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;527;3234;3761
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;137;2873;3010
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;389;1922;2311
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;747;4134;4881
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;288;1842;2130
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;291;1801;2092
Januari;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;302;1697;1999
Januari;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;411;2824;3235
Januari;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;691;3819;4510
Januari;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;366;2980;3346
Januari;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;636;3578;4214
Januari;Surabaya Utara;Bulak;Puskesmas Kenjeran;285;1770;2055
Januari;Surabaya Timur;Sukolilo;Puskesmas Keputih;298;1314;1612
Januari;Surabaya Pusat;Genteng;Puskesmas Ketabang;298;1815;2113
Januari;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;288;1989;2277
Januari;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;406;2728;3134
Januari;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;303;1856;2159
Januari;Surabaya Barat;Sambikerep;Puskesmas Lontar;395;1591;1986
Januari;Surabaya Barat;Sambikerep;Puskesmas Made;220;1710;1930
Januari;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;682;4301;4983
Januari;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;474;2326;2800
Januari;Surabaya Timur;Sukolilo;Puskesmas Menur;403;2505;2908
Januari;Surabaya Timur;Gubeng;Puskesmas Mojo;438;3071;3509
Januari;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;307;1884;2191
Januari;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;442;2512;2954
Januari;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;468;2966;3434
Januari;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;248;2586;2834
Januari;Surabaya Selatan;Sawahan;Puskesmas Pakis;332;2778;3110
Januari;Surabaya Utara;Semampir;Puskesmas Pegirian;283;2438;2721
Januari;Surabaya Pusat;Genteng;Puskesmas Peneleh;271;1961;2232
Januari;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;533;3474;4007
Januari;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;439;2900;3339
Januari;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;367;2468;2835
Januari;Surabaya Timur;Tambaksari;Puskesmas Rangkah;471;2342;2813
Januari;Surabaya Selatan;Sawahan;Puskesmas Sawahan;372;2642;3014
Januari;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;358;1951;2309
Januari;Surabaya Barat;Benowo;Puskesmas Sememi;453;2697;3150
Januari;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;264;1798;2062
Januari;Surabaya Utara;Semampir;Puskesmas Sidotopo;484;2344;2828
Januari;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;353;2756;3109
Januari;Surabaya Pusat;Simokerto;Puskesmas Simolawang;191;2502;2693
Januari;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;570;3757;4327
Januari;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;434;2378;2812
Januari;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;134;2256;2390
Januari;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;292;1495;1787
Januari;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;500;3336;3836
Januari;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;306;1153;1459
Januari;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;460;2492;2952
Januari;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;705;4386;5091
Januari;Surabaya Selatan;Wiyung;Puskesmas Wiyung;377;2694;3071
Januari;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;291;2151;2442
Januari;Surabaya Utara;Semampir;Puskesmas Wonokusumo;473;2827;3300
