Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;352;2211;2563
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;270;1300;1570
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;415;2212;2627
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;272;1531;1803
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;572;3869;4441
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;622;3282;3904
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;413;2313;2726
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;601;2110;2711
Juli;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;772;3109;3881
Juli;Surabaya Utara;Krembangan;Puskesmas Dupak;301;2683;2984
Juli;Surabaya Timur;Tambaksari;Puskesmas Gading;536;3572;4108
Juli;Surabaya Selatan;Gayungan;Puskesmas Gayungan;702;3551;4253
Juli;Surabaya Pusat;Bubutan;Puskesmas Gundih;95;2816;2911
Juli;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;647;2349;2996
Juli;Surabaya Selatan;Wonokromo;Puskesmas Jagir;980;5005;5985
Juli;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;475;3015;3490
Juli;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;358;1608;1966
Juli;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;380;1776;2156
Juli;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;549;3223;3772
Juli;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;648;3437;4085
Juli;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;338;3221;3559
Juli;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;794;4599;5393
Juli;Surabaya Utara;Bulak;Puskesmas Kenjeran;318;1972;2290
Juli;Surabaya Timur;Sukolilo;Puskesmas Keputih;483;1614;2097
Juli;Surabaya Pusat;Genteng;Puskesmas Ketabang;326;2110;2436
Juli;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;391;2199;2590
Juli;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;413;2743;3156
Juli;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;378;2085;2463
Juli;Surabaya Barat;Sambikerep;Puskesmas Lontar;447;1587;2034
Juli;Surabaya Barat;Sambikerep;Puskesmas Made;270;1755;2025
Juli;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;665;4146;4811
Juli;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;662;2891;3553
Juli;Surabaya Timur;Sukolilo;Puskesmas Menur;466;2739;3205
Juli;Surabaya Timur;Gubeng;Puskesmas Mojo;648;3594;4242
Juli;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;306;2073;2379
Juli;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;535;2607;3142
Juli;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;459;3233;3692
Juli;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;383;2913;3296
Juli;Surabaya Selatan;Sawahan;Puskesmas Pakis;369;3048;3417
Juli;Surabaya Utara;Semampir;Puskesmas Pegirian;288;2587;2875
Juli;Surabaya Pusat;Genteng;Puskesmas Peneleh;311;2240;2551
Juli;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;501;3620;4121
Juli;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;490;3258;3748
Juli;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;431;3087;3518
Juli;Surabaya Timur;Tambaksari;Puskesmas Rangkah;571;2868;3439
Juli;Surabaya Selatan;Sawahan;Puskesmas Sawahan;407;3007;3414
Juli;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;255;1692;1947
Juli;Surabaya Barat;Benowo;Puskesmas Sememi;582;4021;4603
Juli;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;352;2009;2361
Juli;Surabaya Utara;Semampir;Puskesmas Sidotopo;454;2434;2888
Juli;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;332;2947;3279
Juli;Surabaya Pusat;Simokerto;Puskesmas Simolawang;241;2521;2762
Juli;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;706;4054;4760
Juli;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;451;2699;3150
Juli;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;299;2298;2597
Juli;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;278;1654;1932
Juli;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;651;3832;4483
Juli;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;340;1328;1668
Juli;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;441;2685;3126
Juli;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;719;3383;4102
Juli;Surabaya Selatan;Wiyung;Puskesmas Wiyung;560;3426;3986
Juli;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;325;2272;2597
Juli;Surabaya Utara;Semampir;Puskesmas Wonokusumo;496;3209;3705
