Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;405;2435;2840
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;249;1226;1475
Juni;Surabaya Barat;Tandes;Puskesmas Balongsari;556;2468;3024
Juni;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;253;1791;2044
Juni;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;788;4065;4853
Juni;Surabaya Barat;Pakal;Puskesmas Benowo;487;3589;4076
Juni;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;481;2736;3217
Juni;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;842;2579;3421
Juni;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;1133;3447;4580
Juni;Surabaya Utara;Krembangan;Puskesmas Dupak;464;3041;3505
Juni;Surabaya Timur;Tambaksari;Puskesmas Gading;728;3829;4557
Juni;Surabaya Selatan;Gayungan;Puskesmas Gayungan;565;3652;4217
Juni;Surabaya Pusat;Bubutan;Puskesmas Gundih;134;3385;3519
Juni;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;655;2431;3086
Juni;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1104;5230;6334
Juni;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;607;2847;3454
Juni;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;378;1939;2317
Juni;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;530;2175;2705
Juni;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;548;3295;3843
Juni;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;711;4008;4719
Juni;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;437;3586;4023
Juni;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;791;4513;5304
Juni;Surabaya Utara;Bulak;Puskesmas Kenjeran;395;1998;2393
Juni;Surabaya Timur;Sukolilo;Puskesmas Keputih;461;1531;1992
Juni;Surabaya Pusat;Genteng;Puskesmas Ketabang;488;2431;2919
Juni;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;392;2219;2611
Juni;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;527;3050;3577
Juni;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;345;2232;2577
Juni;Surabaya Barat;Sambikerep;Puskesmas Lontar;511;1789;2300
Juni;Surabaya Barat;Sambikerep;Puskesmas Made;305;1905;2210
Juni;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;852;4581;5433
Juni;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;681;2894;3575
Juni;Surabaya Timur;Sukolilo;Puskesmas Menur;536;2990;3526
Juni;Surabaya Timur;Gubeng;Puskesmas Mojo;813;4244;5057
Juni;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;437;2256;2693
Juni;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;695;3120;3815
Juni;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;613;3495;4108
Juni;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;487;3370;3857
Juni;Surabaya Selatan;Sawahan;Puskesmas Pakis;493;3320;3813
Juni;Surabaya Utara;Semampir;Puskesmas Pegirian;359;3030;3389
Juni;Surabaya Pusat;Genteng;Puskesmas Peneleh;310;2394;2704
Juni;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;626;4081;4707
Juni;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;505;3811;4316
Juni;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;440;3167;3607
Juni;Surabaya Timur;Tambaksari;Puskesmas Rangkah;627;3160;3787
Juni;Surabaya Selatan;Sawahan;Puskesmas Sawahan;490;3396;3886
Juni;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;330;2097;2427
Juni;Surabaya Barat;Benowo;Puskesmas Sememi;587;3712;4299
Juni;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;454;2397;2851
Juni;Surabaya Utara;Semampir;Puskesmas Sidotopo;579;2794;3373
Juni;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;449;3355;3804
Juni;Surabaya Pusat;Simokerto;Puskesmas Simolawang;295;2905;3200
Juni;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;945;4632;5577
Juni;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;424;2776;3200
Juni;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;397;2589;2986
Juni;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;487;1596;2083
Juni;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;686;3258;3944
Juni;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;463;1535;1998
Juni;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;567;3029;3596
Juni;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;867;4014;4881
Juni;Surabaya Selatan;Wiyung;Puskesmas Wiyung;696;3985;4681
Juni;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;472;2676;3148
Juni;Surabaya Utara;Semampir;Puskesmas Wonokusumo;703;3438;4141
