Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;289;2041;2330
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;208;1086;1294
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;367;2123;2490
Maret;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;148;1444;1592
Maret;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;530;3394;3924
Maret;Surabaya Barat;Pakal;Puskesmas Benowo;468;3279;3747
Maret;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;301;3060;3361
Maret;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;391;2083;2474
Maret;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;615;2852;3467
Maret;Surabaya Utara;Krembangan;Puskesmas Dupak;274;2217;2491
Maret;Surabaya Timur;Tambaksari;Puskesmas Gading;416;2986;3402
Maret;Surabaya Selatan;Gayungan;Puskesmas Gayungan;364;2942;3306
Maret;Surabaya Pusat;Bubutan;Puskesmas Gundih;104;2770;2874
Maret;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;418;2031;2449
Maret;Surabaya Selatan;Wonokromo;Puskesmas Jagir;694;4030;4724
Maret;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;255;1789;2044
Maret;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;287;1411;1698
Maret;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;323;1873;2196
Maret;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;437;2901;3338
Maret;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;549;3332;3881
Maret;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;338;3133;3471
Maret;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;618;3467;4085
Maret;Surabaya Utara;Bulak;Puskesmas Kenjeran;270;1647;1917
Maret;Surabaya Timur;Sukolilo;Puskesmas Keputih;310;1258;1568
Maret;Surabaya Pusat;Genteng;Puskesmas Ketabang;306;1718;2024
Maret;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;215;1829;2044
Maret;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;409;2643;3052
Maret;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;269;1791;2060
Maret;Surabaya Barat;Sambikerep;Puskesmas Lontar;444;1558;2002
Maret;Surabaya Barat;Sambikerep;Puskesmas Made;214;1559;1773
Maret;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;531;4208;4739
Maret;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;414;2232;2646
Maret;Surabaya Timur;Sukolilo;Puskesmas Menur;410;2439;2849
Maret;Surabaya Timur;Gubeng;Puskesmas Mojo;557;2969;3526
Maret;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;241;1939;2180
Maret;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;383;2521;2904
Maret;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;367;3094;3461
Maret;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;266;2788;3054
Maret;Surabaya Selatan;Sawahan;Puskesmas Pakis;238;2474;2712
Maret;Surabaya Utara;Semampir;Puskesmas Pegirian;258;2555;2813
Maret;Surabaya Pusat;Genteng;Puskesmas Peneleh;230;1710;1940
Maret;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;378;3603;3981
Maret;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;398;2924;3322
Maret;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;302;2332;2634
Maret;Surabaya Timur;Tambaksari;Puskesmas Rangkah;371;2513;2884
Maret;Surabaya Selatan;Sawahan;Puskesmas Sawahan;333;2610;2943
Maret;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;259;1747;2006
Maret;Surabaya Barat;Benowo;Puskesmas Sememi;464;2692;3156
Maret;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;259;1804;2063
Maret;Surabaya Utara;Semampir;Puskesmas Sidotopo;390;2172;2562
Maret;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;329;2987;3316
Maret;Surabaya Pusat;Simokerto;Puskesmas Simolawang;173;2080;2253
Maret;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;563;3867;4430
Maret;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;309;2182;2491
Maret;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;212;2296;2508
Maret;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;204;1216;1420
Maret;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;434;2760;3194
Maret;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;321;1049;1370
Maret;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;398;2568;2966
Maret;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;576;4254;4830
Maret;Surabaya Selatan;Wiyung;Puskesmas Wiyung;426;3172;3598
Maret;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;240;2016;2256
Maret;Surabaya Utara;Semampir;Puskesmas Wonokusumo;512;2884;3396
