Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;261;1931;2192
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;152;1036;1188
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;320;2160;2480
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;128;1318;1446
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;565;3394;3959
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;377;3043;3420
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;284;1733;2017
Mei;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;258;2099;2357
Mei;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;685;2815;3500
Mei;Surabaya Utara;Krembangan;Puskesmas Dupak;306;2489;2795
Mei;Surabaya Timur;Tambaksari;Puskesmas Gading;465;3056;3521
Mei;Surabaya Selatan;Gayungan;Puskesmas Gayungan;331;2862;3193
Mei;Surabaya Pusat;Bubutan;Puskesmas Gundih;98;2503;2601
Mei;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;348;1790;2138
Mei;Surabaya Selatan;Wonokromo;Puskesmas Jagir;617;3937;4554
Mei;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;349;1797;2146
Mei;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;226;1541;1767
Mei;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;308;1681;1989
Mei;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;379;2724;3103
Mei;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;501;3021;3522
Mei;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;307;2846;3153
Mei;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;540;3476;4016
Mei;Surabaya Utara;Bulak;Puskesmas Kenjeran;251;1629;1880
Mei;Surabaya Timur;Sukolilo;Puskesmas Keputih;297;1222;1519
Mei;Surabaya Pusat;Genteng;Puskesmas Ketabang;255;1638;1893
Mei;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;251;1845;2096
Mei;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;324;2455;2779
Mei;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;213;1788;2001
Mei;Surabaya Barat;Sambikerep;Puskesmas Lontar;347;1469;1816
Mei;Surabaya Barat;Sambikerep;Puskesmas Made;194;1459;1653
Mei;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;515;3708;4223
Mei;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;450;2370;2820
Mei;Surabaya Timur;Sukolilo;Puskesmas Menur;355;2492;2847
Mei;Surabaya Timur;Gubeng;Puskesmas Mojo;596;3092;3688
Mei;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;233;1772;2005
Mei;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;391;2346;2737
Mei;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;394;2704;3098
Mei;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;236;2486;2722
Mei;Surabaya Selatan;Sawahan;Puskesmas Pakis;238;2546;2784
Mei;Surabaya Utara;Semampir;Puskesmas Pegirian;252;2359;2611
Mei;Surabaya Pusat;Genteng;Puskesmas Peneleh;227;1859;2086
Mei;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;392;3274;3666
Mei;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;388;2769;3157
Mei;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;321;2327;2648
Mei;Surabaya Timur;Tambaksari;Puskesmas Rangkah;402;2412;2814
Mei;Surabaya Selatan;Sawahan;Puskesmas Sawahan;370;2585;2955
Mei;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;271;1724;1995
Mei;Surabaya Barat;Benowo;Puskesmas Sememi;352;2214;2566
Mei;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;302;1733;2035
Mei;Surabaya Utara;Semampir;Puskesmas Sidotopo;449;2082;2531
Mei;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;284;2733;3017
Mei;Surabaya Pusat;Simokerto;Puskesmas Simolawang;193;2113;2306
Mei;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;587;3696;4283
Mei;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;368;2262;2630
Mei;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;168;2222;2390
Mei;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;227;1244;1471
Mei;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;483;2709;3192
Mei;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;351;1248;1599
Mei;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;405;2577;2982
Mei;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;575;3757;4332
Mei;Surabaya Selatan;Wiyung;Puskesmas Wiyung;488;3473;3961
Mei;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;266;2126;2392
Mei;Surabaya Utara;Semampir;Puskesmas Wonokusumo;448;2541;2989
