Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;472;2696;3168
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;368;1590;1958
September;Surabaya Barat;Tandes;Puskesmas Balongsari;460;2865;3325
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;246;1983;2229
September;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;600;3837;4437
September;Surabaya Barat;Pakal;Puskesmas Benowo;580;3929;4509
September;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;492;2660;3152
September;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;709;2745;3454
September;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;975;4192;5167
September;Surabaya Utara;Krembangan;Puskesmas Dupak;385;3400;3785
September;Surabaya Timur;Tambaksari;Puskesmas Gading;767;5036;5803
September;Surabaya Selatan;Gayungan;Puskesmas Gayungan;723;3909;4632
September;Surabaya Pusat;Bubutan;Puskesmas Gundih;148;3627;3775
September;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;724;2917;3641
September;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1048;5320;6368
September;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;612;4104;4716
September;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;497;2151;2648
September;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;459;2437;2896
September;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;723;4306;5029
September;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;941;5022;5963
September;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;421;3820;4241
September;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;728;4806;5534
September;Surabaya Utara;Bulak;Puskesmas Kenjeran;460;2511;2971
September;Surabaya Timur;Sukolilo;Puskesmas Keputih;800;1920;2720
September;Surabaya Pusat;Genteng;Puskesmas Ketabang;623;2536;3159
September;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;461;2918;3379
September;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;502;3578;4080
September;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;546;2868;3414
September;Surabaya Barat;Sambikerep;Puskesmas Lontar;644;2213;2857
September;Surabaya Barat;Sambikerep;Puskesmas Made;337;2222;2559
September;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;1068;5481;6549
September;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1027;3974;5001
September;Surabaya Timur;Sukolilo;Puskesmas Menur;614;3661;4275
September;Surabaya Timur;Gubeng;Puskesmas Mojo;794;4407;5201
September;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;429;3016;3445
September;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;704;3352;4056
September;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;643;3732;4375
September;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;442;3640;4082
September;Surabaya Selatan;Sawahan;Puskesmas Pakis;444;3547;3991
September;Surabaya Utara;Semampir;Puskesmas Pegirian;373;3173;3546
September;Surabaya Pusat;Genteng;Puskesmas Peneleh;514;2753;3267
September;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;777;4641;5418
September;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;547;3922;4469
September;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;574;3808;4382
September;Surabaya Timur;Tambaksari;Puskesmas Rangkah;854;4085;4939
September;Surabaya Selatan;Sawahan;Puskesmas Sawahan;701;3722;4423
September;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;406;2588;2994
September;Surabaya Barat;Benowo;Puskesmas Sememi;749;4938;5687
September;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;549;2682;3231
September;Surabaya Utara;Semampir;Puskesmas Sidotopo;596;2959;3555
September;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;638;4069;4707
September;Surabaya Pusat;Simokerto;Puskesmas Simolawang;294;3469;3763
September;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;979;5223;6202
September;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;632;3128;3760
September;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;388;2968;3356
September;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;339;1971;2310
September;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;1021;4880;5901
September;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;454;1851;2305
September;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;640;3429;4069
September;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;1036;4367;5403
September;Surabaya Selatan;Wiyung;Puskesmas Wiyung;693;4109;4802
September;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;635;2865;3500
September;Surabaya Utara;Semampir;Puskesmas Wonokusumo;834;3896;4730
