Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Desember;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;517;3063;3580
Desember;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;284;1657;1941
Desember;Surabaya Barat;Tandes;Puskesmas Balongsari;447;2850;3297
Desember;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;259;2100;2359
Desember;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;525;4074;4599
Desember;Surabaya Barat;Pakal;Puskesmas Benowo;633;4722;5355
Desember;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;531;3017;3548
Desember;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;563;3039;3602
Desember;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;819;4561;5380
Desember;Surabaya Utara;Krembangan;Puskesmas Dupak;310;3413;3723
Desember;Surabaya Timur;Tambaksari;Puskesmas Gading;718;4793;5511
Desember;Surabaya Selatan;Gayungan;Puskesmas Gayungan;655;3743;4398
Desember;Surabaya Pusat;Bubutan;Puskesmas Gundih;100;3299;3399
Desember;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;705;3147;3852
Desember;Surabaya Selatan;Wonokromo;Puskesmas Jagir;980;5859;6839
Desember;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;521;3649;4170
Desember;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;489;2359;2848
Desember;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;415;2551;2966
Desember;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;635;4662;5297
Desember;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;771;4850;5621
Desember;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;500;4716;5216
Desember;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;733;5007;5740
Desember;Surabaya Utara;Bulak;Puskesmas Kenjeran;440;2688;3128
Desember;Surabaya Timur;Sukolilo;Puskesmas Keputih;542;1968;2510
Desember;Surabaya Pusat;Genteng;Puskesmas Ketabang;391;2473;2864
Desember;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;494;3155;3649
Desember;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;419;3599;4018
Desember;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;441;3063;3504
Desember;Surabaya Barat;Sambikerep;Puskesmas Lontar;544;2284;2828
Desember;Surabaya Barat;Sambikerep;Puskesmas Made;309;2324;2633
Desember;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;880;5374;6254
Desember;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;925;4385;5310
Desember;Surabaya Timur;Sukolilo;Puskesmas Menur;585;3314;3899
Desember;Surabaya Timur;Gubeng;Puskesmas Mojo;665;4466;5131
Desember;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;420;2946;3366
Desember;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;548;2953;3501
Desember;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;454;3748;4202
Desember;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;329;3469;3798
Desember;Surabaya Selatan;Sawahan;Puskesmas Pakis;374;3772;4146
Desember;Surabaya Utara;Semampir;Puskesmas Pegirian;402;3132;3534
Desember;Surabaya Pusat;Genteng;Puskesmas Peneleh;391;2725;3116
Desember;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;709;5073;5782
Desember;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;493;4067;4560
Desember;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;477;3561;4038
Desember;Surabaya Timur;Tambaksari;Puskesmas Rangkah;629;4288;4917
Desember;Surabaya Selatan;Sawahan;Puskesmas Sawahan;490;4099;4589
Desember;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;379;2804;3183
Desember;Surabaya Barat;Benowo;Puskesmas Sememi;730;5111;5841
Desember;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;437;2547;2984
Desember;Surabaya Utara;Semampir;Puskesmas Sidotopo;475;3481;3956
Desember;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;812;5748;6560
Desember;Surabaya Pusat;Simokerto;Puskesmas Simolawang;304;3497;3801
Desember;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;700;5433;6133
Desember;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;402;3231;3633
Desember;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;290;3165;3455
Desember;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;334;2045;2379
Desember;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;785;4971;5756
Desember;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;437;1953;2390
Desember;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;549;3519;4068
Desember;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;777;4272;5049
Desember;Surabaya Selatan;Wiyung;Puskesmas Wiyung;683;4951;5634
Desember;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;438;2825;3263
Desember;Surabaya Utara;Semampir;Puskesmas Wonokusumo;564;4029;4593
