Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;513;2999;3512
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;305;1727;2032
November;Surabaya Barat;Tandes;Puskesmas Balongsari;463;3046;3509
November;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;269;2260;2529
November;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;611;4123;4734
November;Surabaya Barat;Pakal;Puskesmas Benowo;552;4544;5096
November;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;504;3077;3581
November;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;784;3127;3911
November;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;939;4163;5102
November;Surabaya Utara;Krembangan;Puskesmas Dupak;392;3538;3930
November;Surabaya Timur;Tambaksari;Puskesmas Gading;681;5022;5703
November;Surabaya Selatan;Gayungan;Puskesmas Gayungan;647;3855;4502
November;Surabaya Pusat;Bubutan;Puskesmas Gundih;147;3692;3839
November;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;722;2912;3634
November;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1072;5858;6930
November;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;589;3249;3838
November;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;431;2239;2670
November;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;437;2252;2689
November;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;727;4128;4855
November;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;841;4897;5738
November;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;437;4536;4973
November;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;769;4998;5767
November;Surabaya Utara;Bulak;Puskesmas Kenjeran;464;3307;3771
November;Surabaya Timur;Sukolilo;Puskesmas Keputih;533;2079;2612
November;Surabaya Pusat;Genteng;Puskesmas Ketabang;440;2608;3048
November;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;419;2828;3247
November;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;467;3666;4133
November;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;732;3238;3970
November;Surabaya Barat;Sambikerep;Puskesmas Lontar;643;2520;3163
November;Surabaya Barat;Sambikerep;Puskesmas Made;388;2635;3023
November;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;829;5424;6253
November;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1172;4764;5936
November;Surabaya Timur;Sukolilo;Puskesmas Menur;777;3684;4461
November;Surabaya Timur;Gubeng;Puskesmas Mojo;793;4655;5448
November;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;395;2885;3280
November;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;700;3308;4008
November;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;591;3984;4575
November;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;327;3557;3884
November;Surabaya Selatan;Sawahan;Puskesmas Pakis;442;3605;4047
November;Surabaya Utara;Semampir;Puskesmas Pegirian;398;3362;3760
November;Surabaya Pusat;Genteng;Puskesmas Peneleh;393;3021;3414
November;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;774;4877;5651
November;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;588;4358;4946
November;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;495;3539;4034
November;Surabaya Timur;Tambaksari;Puskesmas Rangkah;673;4177;4850
November;Surabaya Selatan;Sawahan;Puskesmas Sawahan;565;4412;4977
November;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;382;2802;3184
November;Surabaya Barat;Benowo;Puskesmas Sememi;762;5201;5963
November;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;447;2895;3342
November;Surabaya Utara;Semampir;Puskesmas Sidotopo;506;3312;3818
November;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;804;5551;6355
November;Surabaya Pusat;Simokerto;Puskesmas Simolawang;315;3903;4218
November;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;668;5063;5731
November;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;474;3629;4103
November;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;312;3191;3503
November;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;354;2206;2560
November;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;745;4641;5386
November;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;523;2134;2657
November;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;553;3561;4114
November;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;840;4610;5450
November;Surabaya Selatan;Wiyung;Puskesmas Wiyung;640;3962;4602
November;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;494;2757;3251
November;Surabaya Utara;Semampir;Puskesmas Wonokusumo;770;4130;4900
