Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;380;2661;3041
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;241;1389;1630
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;410;2670;3080
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;212;1853;2065
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;470;3257;3727
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;462;3399;3861
Oktober;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;399;2418;2817
Oktober;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;591;2475;3066
Oktober;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;766;3358;4124
Oktober;Surabaya Utara;Krembangan;Puskesmas Dupak;344;2901;3245
Oktober;Surabaya Timur;Tambaksari;Puskesmas Gading;568;3996;4564
Oktober;Surabaya Selatan;Gayungan;Puskesmas Gayungan;544;3585;4129
Oktober;Surabaya Pusat;Bubutan;Puskesmas Gundih;92;3289;3381
Oktober;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;658;2543;3201
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Jagir;896;4580;5476
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;455;3236;3691
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;300;1978;2278
Oktober;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;400;2184;2584
Oktober;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;552;3729;4281
Oktober;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;700;4221;4921
Oktober;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;356;3461;3817
Oktober;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;622;4210;4832
Oktober;Surabaya Utara;Bulak;Puskesmas Kenjeran;282;2493;2775
Oktober;Surabaya Timur;Sukolilo;Puskesmas Keputih;700;1772;2472
Oktober;Surabaya Pusat;Genteng;Puskesmas Ketabang;357;2189;2546
Oktober;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;489;3056;3545
Oktober;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;414;3170;3584
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;474;2650;3124
Oktober;Surabaya Barat;Sambikerep;Puskesmas Lontar;472;1832;2304
Oktober;Surabaya Barat;Sambikerep;Puskesmas Made;274;1939;2213
Oktober;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;757;4607;5364
Oktober;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;772;3456;4228
Oktober;Surabaya Timur;Sukolilo;Puskesmas Menur;723;3618;4341
Oktober;Surabaya Timur;Gubeng;Puskesmas Mojo;675;3787;4462
Oktober;Surabaya Utara;Krembangan;Puskesmas Morokrembangan;369;2672;3041
Oktober;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;632;3058;3690
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;433;3158;3591
Oktober;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;253;3023;3276
Oktober;Surabaya Selatan;Sawahan;Puskesmas Pakis;313;3002;3315
Oktober;Surabaya Utara;Semampir;Puskesmas Pegirian;328;2875;3203
Oktober;Surabaya Pusat;Genteng;Puskesmas Peneleh;297;2327;2624
Oktober;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;567;4183;4750
Oktober;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;423;3606;4029
Oktober;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;360;3506;3866
Oktober;Surabaya Timur;Tambaksari;Puskesmas Rangkah;569;3500;4069
Oktober;Surabaya Selatan;Sawahan;Puskesmas Sawahan;463;3545;4008
Oktober;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;281;2306;2587
Oktober;Surabaya Barat;Benowo;Puskesmas Sememi;588;4140;4728
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;402;2260;2662
Oktober;Surabaya Utara;Semampir;Puskesmas Sidotopo;434;2511;2945
Oktober;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;607;4636;5243
Oktober;Surabaya Pusat;Simokerto;Puskesmas Simolawang;292;3101;3393
Oktober;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;605;4415;5020
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;372;2728;3100
Oktober;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;275;2571;2846
Oktober;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;260;1685;1945
Oktober;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;675;4135;4810
Oktober;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;393;1586;1979
Oktober;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;488;2918;3406
Oktober;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;751;3698;4449
Oktober;Surabaya Selatan;Wiyung;Puskesmas Wiyung;581;3515;4096
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;325;2289;2614
Oktober;Surabaya Utara;Semampir;Puskesmas Wonokusumo;536;3512;4048
