Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Agustus;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;507;3795;4302
Agustus;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;377;2152;2529
Agustus;Surabaya Barat;Tandes;Puskesmas Balongsari;562;3334;3896
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;260;2295;2555
Agustus;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;595;5418;6013
Agustus;Surabaya Barat;Pakal;Puskesmas Benowo;611;5188;5799
Agustus;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;572;4685;5257
Agustus;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;543;3518;4061
Agustus;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;1064;5123;6187
Agustus;Surabaya Utara;Krembangan;Puskesmas Dupak;398;3955;4353
Agustus;Surabaya Timur;Tambaksari;Puskesmas Gading;869;6900;7769
Agustus;Surabaya Selatan;Gayungan;Puskesmas Gayungan;588;4787;5375
Agustus;Surabaya Pusat;Bubutan;Puskesmas Gundih;204;3603;3807
Agustus;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;754;3705;4459
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1043;7588;8631
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;504;3248;3752
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;459;2875;3334
Agustus;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;394;2999;3393
Agustus;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;599;5826;6425
Agustus;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;752;5221;5973
Agustus;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;526;4669;5195
Agustus;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;892;5912;6804
Agustus;Surabaya Utara;Bulak;Puskesmas Kenjeran;430;3535;3965
Agustus;Surabaya Timur;Sukolilo;Puskesmas Keputih;469;2338;2807
Agustus;Surabaya Pusat;Genteng;Puskesmas Ketabang;369;3285;3654
Agustus;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;491;3021;3512
Agustus;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;661;4262;4923
Agustus;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;517;3336;3853
Agustus;Surabaya Barat;Sambikerep;Puskesmas Lontar;581;2770;3351
Agustus;Surabaya Barat;Sambikerep;Puskesmas Made;310;2396;2706
Agustus;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;883;6430;7313
Agustus;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1060;6487;7547
Agustus;Surabaya Timur;Sukolilo;Puskesmas Menur;497;4319;4816
Agustus;Surabaya Timur;Gubeng;Puskesmas Mojo;609;4687;5296
Agustus;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;455;4030;4485
Agustus;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;850;3892;4742
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;534;5454;5988
Agustus;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;402;3972;4374
Agustus;Surabaya Selatan;Sawahan;Puskesmas Pakis;432;4638;5070
Agustus;Surabaya Utara;Semampir;Puskesmas Pegirian;396;3981;4377
Agustus;Surabaya Pusat;Genteng;Puskesmas Peneleh;385;3588;3973
Agustus;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;756;6497;7253
Agustus;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;485;5256;5741
Agustus;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;581;4363;4944
Agustus;Surabaya Timur;Tambaksari;Puskesmas Rangkah;1184;6172;7356
Agustus;Surabaya Selatan;Sawahan;Puskesmas Sawahan;473;5077;5550
Agustus;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;375;3469;3844
Agustus;Surabaya Barat;Benowo;Puskesmas Sememi;755;5642;6397
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;465;3631;4096
Agustus;Surabaya Utara;Semampir;Puskesmas Sidotopo;501;3935;4436
Agustus;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1028;7406;8434
Agustus;Surabaya Pusat;Simokerto;Puskesmas Simolawang;399;4612;5011
Agustus;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;718;6575;7293
Agustus;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;451;3702;4153
Agustus;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;481;4260;4741
Agustus;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;295;2614;2909
Agustus;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;750;6036;6786
Agustus;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;389;2394;2783
Agustus;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;617;3927;4544
Agustus;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;753;4959;5712
Agustus;Surabaya Selatan;Wiyung;Puskesmas Wiyung;767;5675;6442
Agustus;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;419;3497;3916
Agustus;Surabaya Utara;Semampir;Puskesmas Wonokusumo;527;4955;5482
