Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
April;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;329;2225;2554
April;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;219;1333;1552
April;Surabaya Barat;Tandes;Puskesmas Balongsari;351;2287;2638
April;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;168;1638;1806
April;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;460;3400;3860
April;Surabaya Barat;Pakal;Puskesmas Benowo;446;3606;4052
April;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;341;2614;2955
April;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;315;1957;2272
April;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;642;3243;3885
April;Surabaya Utara;Krembangan;Puskesmas Dupak;327;2663;2990
April;Surabaya Timur;Tambaksari;Puskesmas Gading;517;3712;4229
April;Surabaya Selatan;Gayungan;Puskesmas Gayungan;389;2782;3171
April;Surabaya Pusat;Bubutan;Puskesmas Gundih;100;2318;2418
April;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;402;2270;2672
April;Surabaya Selatan;Wonokromo;Puskesmas Jagir;686;4497;5183
April;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;270;1977;2247
April;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;240;1772;2012
April;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;246;1992;2238
April;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;407;3649;4056
April;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;515;3516;4031
April;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;397;3099;3496
April;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;541;3996;4537
April;Surabaya Utara;Bulak;Puskesmas Kenjeran;247;2130;2377
April;Surabaya Timur;Sukolilo;Puskesmas Keputih;287;1410;1697
April;Surabaya Pusat;Genteng;Puskesmas Ketabang;218;2043;2261
April;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;266;1661;1927
April;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;325;2715;3040
April;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;318;2276;2594
April;Surabaya Barat;Sambikerep;Puskesmas Lontar;349;1707;2056
April;Surabaya Barat;Sambikerep;Puskesmas Made;190;1535;1725
April;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;634;4480;5114
April;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;655;3997;4652
April;Surabaya Timur;Sukolilo;Puskesmas Menur;400;2544;2944
April;Surabaya Timur;Gubeng;Puskesmas Mojo;424;3490;3914
April;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;292;2253;2545
April;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;541;2493;3034
April;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;371;2779;3150
April;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;307;2837;3144
April;Surabaya Selatan;Sawahan;Puskesmas Pakis;261;2750;3011
April;Surabaya Utara;Semampir;Puskesmas Pegirian;259;2631;2890
April;Surabaya Pusat;Genteng;Puskesmas Peneleh;240;2148;2388
April;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;486;3688;4174
April;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;374;3342;3716
April;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;336;2678;3014
April;Surabaya Timur;Tambaksari;Puskesmas Rangkah;524;3637;4161
April;Surabaya Selatan;Sawahan;Puskesmas Sawahan;328;3451;3779
April;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;263;2245;2508
April;Surabaya Barat;Benowo;Puskesmas Sememi;476;3859;4335
April;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;313;2261;2574
April;Surabaya Utara;Semampir;Puskesmas Sidotopo;303;2437;2740
April;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;744;4833;5577
April;Surabaya Pusat;Simokerto;Puskesmas Simolawang;195;2748;2943
April;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;480;4369;4849
April;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;274;2347;2621
April;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;213;2995;3208
April;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;237;1727;1964
April;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;537;3657;4194
April;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;284;1574;1858
April;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;396;2657;3053
April;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;536;3262;3798
April;Surabaya Selatan;Wiyung;Puskesmas Wiyung;445;3786;4231
April;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;280;2200;2480
April;Surabaya Utara;Semampir;Puskesmas Wonokusumo;290;3095;3385
