Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;490;3126;3616
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;289;1663;1952
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;524;3064;3588
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;268;2017;2285
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;535;4064;4599
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;620;4903;5523
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;633;3343;3976
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;510;3071;3581
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;852;4869;5721
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;368;3505;3873
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;771;4922;5693
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;710;4075;4785
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;141;3243;3384
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;638;3205;3843
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1064;6228;7292
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;379;2618;2997
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;413;2597;3010
Januari;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;422;2676;3098
Januari;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;659;4489;5148
Januari;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;792;4795;5587
Januari;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;592;4823;5415
Januari;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;749;5247;5996
Januari;Surabaya Utara;Bulak;Puskesmas Kenjeran;355;2850;3205
Januari;Surabaya Timur;Sukolilo;Puskesmas Keputih;489;2045;2534
Januari;Surabaya Pusat;Genteng;Puskesmas Ketabang;355;2486;2841
Januari;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;378;2480;2858
Januari;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;455;3709;4164
Januari;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;389;3073;3462
Januari;Surabaya Barat;Sambikerep;Puskesmas Lontar;503;2314;2817
Januari;Surabaya Barat;Sambikerep;Puskesmas Made;251;2210;2461
Januari;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;873;5572;6445
Januari;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;881;5100;5981
Januari;Surabaya Timur;Sukolilo;Puskesmas Menur;505;3243;3748
Januari;Surabaya Timur;Gubeng;Puskesmas Mojo;673;4699;5372
Januari;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;441;3136;3577
Januari;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;601;3203;3804
Januari;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;486;3863;4349
Januari;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;366;3688;4054
Januari;Surabaya Selatan;Sawahan;Puskesmas Pakis;337;3254;3591
Januari;Surabaya Utara;Semampir;Puskesmas Pegirian;442;3517;3959
Januari;Surabaya Pusat;Genteng;Puskesmas Peneleh;355;3068;3423
Januari;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;777;5597;6374
Januari;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;581;4272;4853
Januari;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;470;3687;4157
Januari;Surabaya Timur;Tambaksari;Puskesmas Rangkah;630;4650;5280
Januari;Surabaya Selatan;Sawahan;Puskesmas Sawahan;482;4174;4656
Januari;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;482;3004;3486
Januari;Surabaya Barat;Benowo;Puskesmas Sememi;759;4853;5612
Januari;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;421;3072;3493
Januari;Surabaya Utara;Semampir;Puskesmas Sidotopo;639;4414;5053
Januari;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1072;5985;7057
Januari;Surabaya Pusat;Simokerto;Puskesmas Simolawang;370;3993;4363
Januari;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;770;5681;6451
Januari;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;466;3295;3761
Januari;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;424;3689;4113
Januari;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;326;2067;2393
Januari;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;803;4991;5794
Januari;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;565;2075;2640
Januari;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;606;3557;4163
Januari;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;733;4360;5093
Januari;Surabaya Selatan;Wiyung;Puskesmas Wiyung;628;4351;4979
Januari;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;399;2998;3397
Januari;Surabaya Utara;Semampir;Puskesmas Wonokusumo;547;4333;4880
