Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Juli;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;524;3358;3882
Juli;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;350;1921;2271
Juli;Surabaya Barat;Tandes;Puskesmas Balongsari;468;3092;3560
Juli;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;246;2073;2319
Juli;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;585;5004;5589
Juli;Surabaya Barat;Pakal;Puskesmas Benowo;685;4932;5617
Juli;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;520;4528;5048
Juli;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;523;2907;3430
Juli;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;979;4638;5617
Juli;Surabaya Utara;Krembangan;Puskesmas Dupak;364;3801;4165
Juli;Surabaya Timur;Tambaksari;Puskesmas Gading;821;7084;7905
Juli;Surabaya Selatan;Gayungan;Puskesmas Gayungan;551;4204;4755
Juli;Surabaya Pusat;Bubutan;Puskesmas Gundih;118;3545;3663
Juli;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;696;3608;4304
Juli;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1062;6686;7748
Juli;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;365;2885;3250
Juli;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;423;2660;3083
Juli;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;401;2737;3138
Juli;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;631;5622;6253
Juli;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;689;4910;5599
Juli;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;540;4334;4874
Juli;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;872;5461;6333
Juli;Surabaya Utara;Bulak;Puskesmas Kenjeran;384;3198;3582
Juli;Surabaya Timur;Sukolilo;Puskesmas Keputih;528;2283;2811
Juli;Surabaya Pusat;Genteng;Puskesmas Ketabang;418;2975;3393
Juli;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;471;2709;3180
Juli;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;650;4036;4686
Juli;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;390;3019;3409
Juli;Surabaya Barat;Sambikerep;Puskesmas Lontar;585;2474;3059
Juli;Surabaya Barat;Sambikerep;Puskesmas Made;299;2167;2466
Juli;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;960;5936;6896
Juli;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1001;6056;7057
Juli;Surabaya Timur;Sukolilo;Puskesmas Menur;552;3892;4444
Juli;Surabaya Timur;Gubeng;Puskesmas Mojo;642;4278;4920
Juli;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;516;3834;4350
Juli;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;754;3451;4205
Juli;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;579;4112;4691
Juli;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;443;3611;4054
Juli;Surabaya Selatan;Sawahan;Puskesmas Pakis;417;3584;4001
Juli;Surabaya Utara;Semampir;Puskesmas Pegirian;385;3641;4026
Juli;Surabaya Pusat;Genteng;Puskesmas Peneleh;370;3327;3697
Juli;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;642;5349;5991
Juli;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;562;4614;5176
Juli;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;442;3955;4397
Juli;Surabaya Timur;Tambaksari;Puskesmas Rangkah;856;5558;6414
Juli;Surabaya Selatan;Sawahan;Puskesmas Sawahan;491;4884;5375
Juli;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;346;3161;3507
Juli;Surabaya Barat;Benowo;Puskesmas Sememi;880;5056;5936
Juli;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;391;3102;3493
Juli;Surabaya Utara;Semampir;Puskesmas Sidotopo;457;3503;3960
Juli;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;889;6583;7472
Juli;Surabaya Pusat;Simokerto;Puskesmas Simolawang;382;4226;4608
Juli;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;762;6013;6775
Juli;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;470;3184;3654
Juli;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;364;4111;4475
Juli;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;281;2097;2378
Juli;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;748;5629;6377
Juli;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;377;2203;2580
Juli;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;659;3741;4400
Juli;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;696;4616;5312
Juli;Surabaya Selatan;Wiyung;Puskesmas Wiyung;698;5131;5829
Juli;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;369;3222;3591
Juli;Surabaya Utara;Semampir;Puskesmas Wonokusumo;480;4536;5016
