Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Juni;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;673;3624;4297
Juni;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;345;1857;2202
Juni;Surabaya Barat;Tandes;Puskesmas Balongsari;479;3355;3834
Juni;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;324;2322;2646
Juni;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;616;4863;5479
Juni;Surabaya Barat;Pakal;Puskesmas Benowo;677;4986;5663
Juni;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;548;3703;4251
Juni;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;528;3002;3530
Juni;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;983;4639;5622
Juni;Surabaya Utara;Krembangan;Puskesmas Dupak;446;3936;4382
Juni;Surabaya Timur;Tambaksari;Puskesmas Gading;1051;7510;8561
Juni;Surabaya Selatan;Gayungan;Puskesmas Gayungan;634;4121;4755
Juni;Surabaya Pusat;Bubutan;Puskesmas Gundih;115;3892;4007
Juni;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;710;3725;4435
Juni;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1029;7193;8222
Juni;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;435;3115;3550
Juni;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;497;2695;3192
Juni;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;439;2900;3339
Juni;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;652;5568;6220
Juni;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;742;5160;5902
Juni;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;547;4573;5120
Juni;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;766;5664;6430
Juni;Surabaya Utara;Bulak;Puskesmas Kenjeran;385;2848;3233
Juni;Surabaya Timur;Sukolilo;Puskesmas Keputih;472;2417;2889
Juni;Surabaya Pusat;Genteng;Puskesmas Ketabang;360;2899;3259
Juni;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;439;2992;3431
Juni;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;677;4014;4691
Juni;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;486;3136;3622
Juni;Surabaya Barat;Sambikerep;Puskesmas Lontar;557;2885;3442
Juni;Surabaya Barat;Sambikerep;Puskesmas Made;275;2291;2566
Juni;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;917;6219;7136
Juni;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1069;5881;6950
Juni;Surabaya Timur;Sukolilo;Puskesmas Menur;547;4121;4668
Juni;Surabaya Timur;Gubeng;Puskesmas Mojo;605;4853;5458
Juni;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;462;3577;4039
Juni;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;788;3698;4486
Juni;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;523;4252;4775
Juni;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;517;4027;4544
Juni;Surabaya Selatan;Sawahan;Puskesmas Pakis;409;3833;4242
Juni;Surabaya Utara;Semampir;Puskesmas Pegirian;391;3924;4315
Juni;Surabaya Pusat;Genteng;Puskesmas Peneleh;322;3330;3652
Juni;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;733;5861;6594
Juni;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;521;4923;5444
Juni;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;513;3705;4218
Juni;Surabaya Timur;Tambaksari;Puskesmas Rangkah;724;5380;6104
Juni;Surabaya Selatan;Sawahan;Puskesmas Sawahan;465;4802;5267
Juni;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;470;3278;3748
Juni;Surabaya Barat;Benowo;Puskesmas Sememi;775;5389;6164
Juni;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;422;3447;3869
Juni;Surabaya Utara;Semampir;Puskesmas Sidotopo;501;3936;4437
Juni;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1092;7082;8174
Juni;Surabaya Pusat;Simokerto;Puskesmas Simolawang;392;4605;4997
Juni;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;772;6300;7072
Juni;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;430;3316;3746
Juni;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;491;4202;4693
Juni;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;355;2489;2844
Juni;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;755;5657;6412
Juni;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;436;2238;2674
Juni;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;612;3991;4603
Juni;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;761;4821;5582
Juni;Surabaya Selatan;Wiyung;Puskesmas Wiyung;721;5474;6195
Juni;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;451;3376;3827
Juni;Surabaya Utara;Semampir;Puskesmas Wonokusumo;579;4866;5445
