Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;573;3237;3810
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;294;1853;2147
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;509;3022;3531
Maret;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;241;2159;2400
Maret;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;621;4607;5228
Maret;Surabaya Barat;Pakal;Puskesmas Benowo;638;4911;5549
Maret;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;538;3577;4115
Maret;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;437;2861;3298
Maret;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;884;4342;5226
Maret;Surabaya Utara;Krembangan;Puskesmas Dupak;396;3766;4162
Maret;Surabaya Timur;Tambaksari;Puskesmas Gading;709;4662;5371
Maret;Surabaya Selatan;Gayungan;Puskesmas Gayungan;508;3891;4399
Maret;Surabaya Pusat;Bubutan;Puskesmas Gundih;128;3467;3595
Maret;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;806;3373;4179
Maret;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1002;6454;7456
Maret;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;378;2601;2979
Maret;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;385;2643;3028
Maret;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;402;2743;3145
Maret;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;603;4994;5597
Maret;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;753;4959;5712
Maret;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;481;4528;5009
Maret;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;754;5537;6291
Maret;Surabaya Utara;Bulak;Puskesmas Kenjeran;318;2787;3105
Maret;Surabaya Timur;Sukolilo;Puskesmas Keputih;422;2071;2493
Maret;Surabaya Pusat;Genteng;Puskesmas Ketabang;657;2770;3427
Maret;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;395;2448;2843
Maret;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;519;3662;4181
Maret;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;381;2892;3273
Maret;Surabaya Barat;Sambikerep;Puskesmas Lontar;593;2513;3106
Maret;Surabaya Barat;Sambikerep;Puskesmas Made;303;2225;2528
Maret;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;901;5920;6821
Maret;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1052;5643;6695
Maret;Surabaya Timur;Sukolilo;Puskesmas Menur;500;3575;4075
Maret;Surabaya Timur;Gubeng;Puskesmas Mojo;628;4533;5161
Maret;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;481;3360;3841
Maret;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;689;3224;3913
Maret;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;493;3806;4299
Maret;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;444;3582;4026
Maret;Surabaya Selatan;Sawahan;Puskesmas Pakis;411;4180;4591
Maret;Surabaya Utara;Semampir;Puskesmas Pegirian;381;3819;4200
Maret;Surabaya Pusat;Genteng;Puskesmas Peneleh;340;3256;3596
Maret;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;689;5392;6081
Maret;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;516;4472;4988
Maret;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;418;3624;4042
Maret;Surabaya Timur;Tambaksari;Puskesmas Rangkah;629;4649;5278
Maret;Surabaya Selatan;Sawahan;Puskesmas Sawahan;466;4449;4915
Maret;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;392;3205;3597
Maret;Surabaya Barat;Benowo;Puskesmas Sememi;716;4905;5621
Maret;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;371;3060;3431
Maret;Surabaya Utara;Semampir;Puskesmas Sidotopo;479;3753;4232
Maret;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1012;6559;7571
Maret;Surabaya Pusat;Simokerto;Puskesmas Simolawang;359;3919;4278
Maret;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;740;5863;6603
Maret;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;439;3340;3779
Maret;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;352;4126;4478
Maret;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;291;2430;2721
Maret;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;787;5222;6009
Maret;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;439;2104;2543
Maret;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;554;3649;4203
Maret;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;679;4513;5192
Maret;Surabaya Selatan;Wiyung;Puskesmas Wiyung;691;4834;5525
Maret;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;418;3134;3552
Maret;Surabaya Utara;Semampir;Puskesmas Wonokusumo;569;4144;4713
