Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Mei;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;673;3624;4297
Mei;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;345;1857;2202
Mei;Surabaya Barat;Tandes;Puskesmas Balongsari;479;3355;3834
Mei;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;324;2322;2646
Mei;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;616;4863;5479
Mei;Surabaya Barat;Pakal;Puskesmas Benowo;677;4986;5663
Mei;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;548;3703;4251
Mei;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;528;3002;3530
Mei;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;983;4639;5622
Mei;Surabaya Utara;Krembangan;Puskesmas Dupak;446;3936;4382
Mei;Surabaya Timur;Tambaksari;Puskesmas Gading;1051;7510;8561
Mei;Surabaya Selatan;Gayungan;Puskesmas Gayungan;634;4121;4755
Mei;Surabaya Pusat;Bubutan;Puskesmas Gundih;115;3892;4007
Mei;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;710;3725;4435
Mei;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1029;7193;8222
Mei;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;435;3115;3550
Mei;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;497;2695;3192
Mei;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;439;2900;3339
Mei;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;652;5568;6220
Mei;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;742;5160;5902
Mei;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;547;4573;5120
Mei;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;766;5664;6430
Mei;Surabaya Utara;Bulak;Puskesmas Kenjeran;385;2848;3233
Mei;Surabaya Timur;Sukolilo;Puskesmas Keputih;472;2417;2889
Mei;Surabaya Pusat;Genteng;Puskesmas Ketabang;360;2899;3259
Mei;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;439;2992;3431
Mei;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;677;4014;4691
Mei;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;486;3136;3622
Mei;Surabaya Barat;Sambikerep;Puskesmas Lontar;557;2885;3442
Mei;Surabaya Barat;Sambikerep;Puskesmas Made;275;2291;2566
Mei;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;917;6219;7136
Mei;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1069;5881;6950
Mei;Surabaya Timur;Sukolilo;Puskesmas Menur;547;4121;4668
Mei;Surabaya Timur;Gubeng;Puskesmas Mojo;605;4853;5458
Mei;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;462;3577;4039
Mei;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;788;3698;4486
Mei;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;523;4252;4775
Mei;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;517;4027;4544
Mei;Surabaya Selatan;Sawahan;Puskesmas Pakis;409;3833;4242
Mei;Surabaya Utara;Semampir;Puskesmas Pegirian;391;3924;4315
Mei;Surabaya Pusat;Genteng;Puskesmas Peneleh;322;3330;3652
Mei;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;733;5861;6594
Mei;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;521;4923;5444
Mei;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;513;3705;4218
Mei;Surabaya Timur;Tambaksari;Puskesmas Rangkah;724;5380;6104
Mei;Surabaya Selatan;Sawahan;Puskesmas Sawahan;465;4802;5267
Mei;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;470;3278;3748
Mei;Surabaya Barat;Benowo;Puskesmas Sememi;775;5389;6164
Mei;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;422;3447;3869
Mei;Surabaya Utara;Semampir;Puskesmas Sidotopo;501;3936;4437
Mei;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1092;7082;8174
Mei;Surabaya Pusat;Simokerto;Puskesmas Simolawang;392;4605;4997
Mei;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;772;6300;7072
Mei;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;430;3316;3746
Mei;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;491;4202;4693
Mei;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;355;2489;2844
Mei;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;755;5657;6412
Mei;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;436;2238;2674
Mei;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;612;3991;4603
Mei;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;761;4821;5582
Mei;Surabaya Selatan;Wiyung;Puskesmas Wiyung;721;5474;6195
Mei;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;451;3376;3827
Mei;Surabaya Utara;Semampir;Puskesmas Wonokusumo;579;4866;5445
