Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
November;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;518;3626;4144
November;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;292;1929;2221
November;Surabaya Barat;Tandes;Puskesmas Balongsari;466;3288;3754
November;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;214;2128;2342
November;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;599;5379;5978
November;Surabaya Barat;Pakal;Puskesmas Benowo;505;4782;5287
November;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;441;4538;4979
November;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;478;3070;3548
November;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;946;4980;5926
November;Surabaya Utara;Krembangan;Puskesmas Dupak;399;3865;4264
November;Surabaya Timur;Tambaksari;Puskesmas Gading;715;6527;7242
November;Surabaya Selatan;Gayungan;Puskesmas Gayungan;500;4736;5236
November;Surabaya Pusat;Bubutan;Puskesmas Gundih;122;3610;3732
November;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;802;3842;4644
November;Surabaya Selatan;Wonokromo;Puskesmas Jagir;971;7127;8098
November;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;355;2921;3276
November;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;326;2792;3118
November;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;373;2943;3316
November;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;704;5481;6185
November;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;619;4971;5590
November;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;539;4956;5495
November;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;863;5694;6557
November;Surabaya Utara;Bulak;Puskesmas Kenjeran;419;3351;3770
November;Surabaya Timur;Sukolilo;Puskesmas Keputih;466;2689;3155
November;Surabaya Pusat;Genteng;Puskesmas Ketabang;354;3011;3365
November;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;467;3067;3534
November;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;696;4036;4732
November;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;522;3210;3732
November;Surabaya Barat;Sambikerep;Puskesmas Lontar;542;2935;3477
November;Surabaya Barat;Sambikerep;Puskesmas Made;281;2374;2655
November;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;815;6310;7125
November;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1154;6437;7591
November;Surabaya Timur;Sukolilo;Puskesmas Menur;608;4041;4649
November;Surabaya Timur;Gubeng;Puskesmas Mojo;555;5378;5933
November;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;416;3738;4154
November;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;758;3809;4567
November;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;528;5850;6378
November;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;461;3864;4325
November;Surabaya Selatan;Sawahan;Puskesmas Pakis;384;3816;4200
November;Surabaya Utara;Semampir;Puskesmas Pegirian;380;3966;4346
November;Surabaya Pusat;Genteng;Puskesmas Peneleh;322;3454;3776
November;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;615;5674;6289
November;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;486;4935;5421
November;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;524;4153;4677
November;Surabaya Timur;Tambaksari;Puskesmas Rangkah;674;5054;5728
November;Surabaya Selatan;Sawahan;Puskesmas Sawahan;473;4742;5215
November;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;393;3355;3748
November;Surabaya Barat;Benowo;Puskesmas Sememi;796;6971;7767
November;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;469;3487;3956
November;Surabaya Utara;Semampir;Puskesmas Sidotopo;508;4404;4912
November;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;931;7005;7936
November;Surabaya Pusat;Simokerto;Puskesmas Simolawang;368;4494;4862
November;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;630;6695;7325
November;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;398;3305;3703
November;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;452;4167;4619
November;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;230;2475;2705
November;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;781;6091;6872
November;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;365;2419;2784
November;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;513;3835;4348
November;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;682;4805;5487
November;Surabaya Selatan;Wiyung;Puskesmas Wiyung;648;5457;6105
November;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;420;3528;3948
November;Surabaya Utara;Semampir;Puskesmas Wonokusumo;502;4897;5399
