Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Oktober;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;510;3664;4174
Oktober;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;320;2141;2461
Oktober;Surabaya Barat;Tandes;Puskesmas Balongsari;483;3374;3857
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;218;2211;2429
Oktober;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;622;5479;6101
Oktober;Surabaya Barat;Pakal;Puskesmas Benowo;519;4945;5464
Oktober;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;433;4658;5091
Oktober;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;500;3194;3694
Oktober;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;1031;5222;6253
Oktober;Surabaya Utara;Krembangan;Puskesmas Dupak;392;4086;4478
Oktober;Surabaya Timur;Tambaksari;Puskesmas Gading;810;6317;7127
Oktober;Surabaya Selatan;Gayungan;Puskesmas Gayungan;647;4912;5559
Oktober;Surabaya Pusat;Bubutan;Puskesmas Gundih;144;3672;3816
Oktober;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;677;3683;4360
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Jagir;1002;7250;8252
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;470;3164;3634
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;483;2858;3341
Oktober;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;398;3067;3465
Oktober;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;688;5614;6302
Oktober;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;664;5291;5955
Oktober;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;480;5126;5606
Oktober;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;979;6185;7164
Oktober;Surabaya Utara;Bulak;Puskesmas Kenjeran;402;3421;3823
Oktober;Surabaya Timur;Sukolilo;Puskesmas Keputih;536;2555;3091
Oktober;Surabaya Pusat;Genteng;Puskesmas Ketabang;430;3093;3523
Oktober;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;461;3115;3576
Oktober;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;720;4182;4902
Oktober;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;497;3354;3851
Oktober;Surabaya Barat;Sambikerep;Puskesmas Lontar;585;2869;3454
Oktober;Surabaya Barat;Sambikerep;Puskesmas Made;282;2282;2564
Oktober;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;849;6248;7097
Oktober;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1072;6571;7643
Oktober;Surabaya Timur;Sukolilo;Puskesmas Menur;612;4014;4626
Oktober;Surabaya Timur;Gubeng;Puskesmas Mojo;606;4719;5325
Oktober;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;439;3952;4391
Oktober;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;858;3940;4798
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;612;6264;6876
Oktober;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;431;3968;4399
Oktober;Surabaya Selatan;Sawahan;Puskesmas Pakis;374;4281;4655
Oktober;Surabaya Utara;Semampir;Puskesmas Pegirian;413;3972;4385
Oktober;Surabaya Pusat;Genteng;Puskesmas Peneleh;297;3586;3883
Oktober;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;728;5893;6621
Oktober;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;503;5146;5649
Oktober;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;506;4544;5050
Oktober;Surabaya Timur;Tambaksari;Puskesmas Rangkah;833;6058;6891
Oktober;Surabaya Selatan;Sawahan;Puskesmas Sawahan;503;5243;5746
Oktober;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;370;3155;3525
Oktober;Surabaya Barat;Benowo;Puskesmas Sememi;765;5575;6340
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;420;3587;4007
Oktober;Surabaya Utara;Semampir;Puskesmas Sidotopo;593;4698;5291
Oktober;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1098;7309;8407
Oktober;Surabaya Pusat;Simokerto;Puskesmas Simolawang;368;4373;4741
Oktober;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;802;7129;7931
Oktober;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;431;3682;4113
Oktober;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;405;4284;4689
Oktober;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;288;2640;2928
Oktober;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;786;6264;7050
Oktober;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;414;2319;2733
Oktober;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;587;3935;4522
Oktober;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;777;5093;5870
Oktober;Surabaya Selatan;Wiyung;Puskesmas Wiyung;782;5506;6288
Oktober;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;469;3654;4123
Oktober;Surabaya Utara;Semampir;Puskesmas Wonokusumo;500;4849;5349
