Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
September;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;528;3737;4265
September;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;291;2056;2347
September;Surabaya Barat;Tandes;Puskesmas Balongsari;519;3220;3739
September;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;250;2310;2560
September;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;655;5553;6208
September;Surabaya Barat;Pakal;Puskesmas Benowo;535;4913;5448
September;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;493;4799;5292
September;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;531;3362;3893
September;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;1061;5016;6077
September;Surabaya Utara;Krembangan;Puskesmas Dupak;391;4041;4432
September;Surabaya Timur;Tambaksari;Puskesmas Gading;725;5774;6499
September;Surabaya Selatan;Gayungan;Puskesmas Gayungan;632;4839;5471
September;Surabaya Pusat;Bubutan;Puskesmas Gundih;160;3902;4062
September;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;810;3744;4554
September;Surabaya Selatan;Wonokromo;Puskesmas Jagir;936;7513;8449
September;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;411;3322;3733
September;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;450;2817;3267
September;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;446;3080;3526
September;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;594;5601;6195
September;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;674;5163;5837
September;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;503;4975;5478
September;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;801;6118;6919
September;Surabaya Utara;Bulak;Puskesmas Kenjeran;390;3281;3671
September;Surabaya Timur;Sukolilo;Puskesmas Keputih;546;2555;3101
September;Surabaya Pusat;Genteng;Puskesmas Ketabang;396;3151;3547
September;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;492;3209;3701
September;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;611;4123;4734
September;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;477;3309;3786
September;Surabaya Barat;Sambikerep;Puskesmas Lontar;558;2725;3283
September;Surabaya Barat;Sambikerep;Puskesmas Made;308;2503;2811
September;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;817;6244;7061
September;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1049;6470;7519
September;Surabaya Timur;Sukolilo;Puskesmas Menur;563;4055;4618
September;Surabaya Timur;Gubeng;Puskesmas Mojo;658;4537;5195
September;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;483;4023;4506
September;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;843;3725;4568
September;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;569;6171;6740
September;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;420;3836;4256
September;Surabaya Selatan;Sawahan;Puskesmas Pakis;307;3636;3943
September;Surabaya Utara;Semampir;Puskesmas Pegirian;384;3939;4323
September;Surabaya Pusat;Genteng;Puskesmas Peneleh;317;3527;3844
September;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;706;5734;6440
September;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;502;5226;5728
September;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;568;4378;4946
September;Surabaya Timur;Tambaksari;Puskesmas Rangkah;1020;5716;6736
September;Surabaya Selatan;Sawahan;Puskesmas Sawahan;486;5056;5542
September;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;426;3488;3914
September;Surabaya Barat;Benowo;Puskesmas Sememi;740;5731;6471
September;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;472;3349;3821
September;Surabaya Utara;Semampir;Puskesmas Sidotopo;483;3904;4387
September;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;1025;7279;8304
September;Surabaya Pusat;Simokerto;Puskesmas Simolawang;385;4243;4628
September;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;706;6881;7587
September;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;420;3676;4096
September;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;432;4197;4629
September;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;307;2636;2943
September;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;797;6062;6859
September;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;372;2297;2669
September;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;579;3847;4426
September;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;861;5014;5875
September;Surabaya Selatan;Wiyung;Puskesmas Wiyung;698;5436;6134
September;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;437;3530;3967
September;Surabaya Utara;Semampir;Puskesmas Wonokusumo;445;4834;5279
