Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;2;26;28
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;70;481;551
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;1;7;8
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;133;711;844
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;12;401;413
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;2;5;7
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;SANITASI;1;0;1
Januari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;UMUM;465;2686;3151
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;1;36;37
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;37;282;319
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;3;15;18
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;74;343;417
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;13;308;321
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;3;9;12
Januari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;217;1099;1316
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;2;16;18
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;39;454;493
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;0;5;5
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;13;11;24
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;133;664;797
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;11;529;540
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;P2M;1;46;47
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;PKPR;2;0;2
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;9;24;33
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;RAWAT INAP;0;1;1
Januari;Surabaya Barat;Tandes;Puskesmas Balongsari;UMUM;369;1969;2338
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;BATRA;1;66;67
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIGI;26;264;290
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;GIZI;0;8;8
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;HAMIL;7;74;81
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;KIA;36;422;458
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;LANSIA;5;216;221
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;PSIKOLOGI;13;21;34
Januari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;UMUM;132;1314;1446
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;BATRA;0;11;11
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIGI;42;394;436
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;GIZI;0;4;4
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;INSTALASI GAWAT DARURAT;57;178;235
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;KIA;114;907;1021
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;LANSIA;33;876;909
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PARU;6;217;223
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PKPR;39;28;67
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;PSIKOLOGI;3;22;25
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;RAWAT INAP;2;16;18
Januari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;UMUM;493;3154;3647
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;BATRA;0;14;14
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;GIGI;60;637;697
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;GIZI;20;75;95
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;INSTALASI GAWAT DARURAT;1;0;1
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;KIA;126;1000;1126
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;LANSIA;18;686;704
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;PSIKOLOGI;1;6;7
Januari;Surabaya Barat;Pakal;Puskesmas Benowo;UMUM;425;2512;2937
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;BATRA;2;42;44
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIGI;44;598;642
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;GIZI;3;33;36
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;INSTALASI GAWAT DARURAT;2;5;7
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;KIA;156;1207;1363
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;LANSIA;29;758;787
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;PSIKOLOGI;0;5;5
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;RAWAT INAP;2;22;24
Januari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;UMUM;365;2366;2731
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;BATRA;3;36;39
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;GIGI;37;209;246
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;GIZI;0;7;7
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;KIA;127;581;708
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;LANSIA;28;594;622
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;PSIKOLOGI;27;17;44
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;UMUM;416;2055;2471
Januari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;VAKSIN D1;55;11;66
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;ANAK;131;557;688
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;BATRA;1;43;44
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;GIGI;64;485;549
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;INSTALASI GAWAT DARURAT;139;127;266
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;KIA;64;327;391
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;LANSIA;47;913;960
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;PARU;0;23;23
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;PKPR;41;36;77
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;PSIKOLOGI;3;25;28
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;RAWAT INAP;3;39;42
Januari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;UMUM;858;3072;3930
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;BATRA;2;46;48
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;GIGI;31;354;385
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;GIZI;1;40;41
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;INSTALASI GAWAT DARURAT;59;74;133
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;KIA;118;747;865
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;LANSIA;10;555;565
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;PSIKOLOGI;2;18;20
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;RAWAT INAP;17;20;37
Januari;Surabaya Utara;Krembangan;Puskesmas Dupak;UMUM;194;2435;2629
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;ANAK;146;709;855
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;BATRA;3;76;79
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;DEGENARATIF;1;133;134
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;GIGI;83;573;656
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;GIZI;48;75;123
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;INSTALASI GAWAT DARURAT;2;1;3
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;KIA;47;499;546
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;LANSIA;36;761;797
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;PARU;3;152;155
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;PSIKOLOGI;2;30;32
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;UMUM;1032;4236;5268
Januari;Surabaya Timur;Tambaksari;Puskesmas Gading;VAKSIN D1;0;2;2
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;BATRA;1;133;134
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;GIGI;39;732;771
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;GIZI;4;48;52
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;KIA;106;772;878
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;LANSIA;27;981;1008
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;PSIKOLOGI;3;31;34
Januari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;UMUM;524;2631;3155
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;BATRA;0;11;11
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;GIGI;11;357;368
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;GIZI;0;9;9
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;KIA;63;760;823
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;LANSIA;7;513;520
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;PARU;0;110;110
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;PSIKOLOGI;0;12;12
Januari;Surabaya Pusat;Bubutan;Puskesmas Gundih;UMUM;124;2738;2862
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;BATRA;2;53;55
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;GIGI;52;395;447
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;GIZI;9;10;19
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;INSTALASI GAWAT DARURAT;13;10;23
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;KIA;127;594;721
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;LANSIA;20;720;740
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;PKPR;24;38;62
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;PSIKOLOGI;14;33;47
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;RAWAT INAP;1;1;2
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;SANITASI;1;0;1
Januari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;UMUM;764;2709;3473
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;BATRA;1;50;51
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;GIGI;171;995;1166
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;GIZI;4;10;14
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;INSTALASI GAWAT DARURAT;40;31;71
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;KIA;230;1274;1504
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;LANSIA;33;1311;1344
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;PSIKOLOGI;6;23;29
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;RAWAT INAP;16;21;37
Januari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;UMUM;662;3904;4566
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;BATRA;0;40;40
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;GIGI;38;285;323
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;GIZI;13;27;40
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;KIA;54;450;504
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;LANSIA;4;404;408
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;PSIKOLOGI;16;40;56
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;SANITASI;1;0;1
Januari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;UMUM;256;1929;2185
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;BATRA;3;21;24
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;GIGI;57;257;314
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;GIZI;8;31;39
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;INSTALASI GAWAT DARURAT;4;1;5
Januari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;KIA;40;206;246
