Periode;Wilayah;Kecamatan;Nama Puskesmas;Poli;Baru;Lama;Total Kunjungan
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;BATRA;0;14;14
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIGI;58;428;486
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;GIZI;0;1;1
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;INSTALASI GAWAT DARURAT;1;0;1
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;KIA;123;709;832
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;LANSIA;4;430;434
Maret;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;PSIKOLOGI;0;2;2
Maret;Surabaya Selatan;Wiyung;Puskesmas Asemrowo;UMUM;202;1998;2200
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;BATRA;1;14;15
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIGI;28;255;283
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;GIZI;1;6;7
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;KIA;51;331;382
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;LANSIA;9;286;295
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;PSIKOLOGI;1;5;6
Maret;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;UMUM;160;866;1026
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;BATRA;1;6;7
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;GIGI;22;390;412
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;GIZI;1;5;6
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;INSTALASI GAWAT DARURAT;19;18;37
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;KIA;115;746;861
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;LANSIA;8;542;550
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;P2M;0;75;75
Maret;Surabaya Barat;Tandes;Puskesmas Balongsari;PSIKOLOGI;3;7;10
